idNum	Q_TotalDuration	individ score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE	Copied_score	Condition	o_score	CopCopied	CopHobs	CopyFreq	CopScore	age	sex	edu	location	IC_1	IC_2	IC_3	IC_4	IC_5	IC_6	IC_7	IC_8	IC_9	IC_10	IC_11	IC_12	IC_13	IC_14	IC_15	IC_16	IC_17	IC_18	IC_19	IC_20	IC_21	IC_22	IC_23	IC_24	IC_25	IC_26	IC_27	IC_28	IC_29	IC_30	IC_31	IC_32	IC_33	IC_34	IC_35	IC_36	IC_37	IC_38	IC_39	IC_40	IC_41	IC_42	IC_43	IC_44	IC_45	IC_46	IC_47	IC_48	IC_49	IC_50	IC_51	IC_52	IC_53	IC_54	IC_55	IC_56	IC_57	IC_58	IC_59	IC_60	IC_61	IC_62	IC_63	IC_64	IC_65	IC_66	IC_67	IC_68	IC_69	IC_70	IC_71	IC_72	IC_73	IC_74	IC_75	IC_76	IC_77	IC_78	IC_79	IC_80	IC_81	IC_82	IC_83	IC_84	IC_85	IC_86	IC_87	IC_88	IC_89	IC_90	IC_91	IC_92	IC_93	IC_94	IC_95	IC_96	IC_97	IC_98	IC_99	IC_100	IC_101	IC_102	IC_103	IC_104	IC_105	IC_106	IC_107	IC_108	IC_109	IC_110	IC_111	IC_112	IC_113	IC_114	IC_115	IC_116	IC_117	IC_118	IC_119	IC_120	IC_121	IC_122	IC_123	IC_124	IC_125	IC_126	IC_127	IC_128	IC_129	IC_130	IC_131	IC_132	IC_133	IC_134	IC_135	IC_136	IC_137	IC_138	IC_139	IC_140	IC_141	IC_142	IC_143	IC_144	IC_145	IC_146	IC_147	IC_148	IC_149	IC_150	IC_151	IC_152	IC_153	IC_154	IC_155	IC_156	IC_157	IC_158	IC_159	IC_160	IC_161	IC_162	IC_163	IC_164	IC_165	IC_166	IC_167	IC_168	IC_169	IC_170	IC_171	IC_172	IC_173	IC_174	IC_175	IC_176	IC_177	IC_178	IC_179	IC_180	IC_181	IC_182	IC_183	IC_184	IC_185	IC_186	IC_187	IC_188	IC_189	IC_190	IC_191	IC_192	IC_193	IC_194	IC_195	IC_196	IC_197	IC_198	IC_199	IC_200	IC_201	IC_202	IC_203	IC_204	IC_205	IC_206	IC_207	IC_208	IC_209	IC_210	IC_211	IC_212	IC_213	IC_214	IC_215	IC_216	IC_217	IC_218	IC_219	IC_220	IC_221	IC_222	IC_223	IC_224	IC_225	IC_226	IC_227	IC_228	IC_229	IC_230	IC_231	IC_232	IC_233	IC_234	IC_235	IC_236	IC_237	IC_238	IC_239	IC_240	IC_241	IC_242	IC_243	IC_244	IC_245	IC_246	IC_247	IC_248	IC_249	IC_250	IC_251	IC_252	IC_253	IC_254	IC_255	IC_256	IC_257	IC_258	IC_259	IC_260	IC_261	IC_262	IC_263	IC_264	IC_265	IC_266	IC_267	IC_268	IC_269	IC_270	IC_271	IC_272	IC_273	IC_274	IC_275	IC_276	IC_277	IC_278	IC_279	IC_280	IC_281	IC_282	IC_283	IC_284	IC_285	IC_286	IC_287	IC_288	IC_289	IC_290	IC_291	IC_292	IC_293	IC_294	IC_295	IC_296	IC_297	IC_298	IC_299	IC_300	CopyFreq	CopScore	fr_1	fr_2	CopCopied	CopHobs	CopyFreq	CopScore
78	1505	52	14	8	12	18	23	A	75	27	3	30	0	41	Male	Apprenticeship / trade / technical / vocational training	preston				How many times they were copied			How many times they were copied																											How many times they were copied															How many times they were copied						One of their top three hobbies															How many times they were copied																								How many times they were copied																																										One of their top three hobbies															How many times they were copied						How many times they were copied															How many times they were copied			How many times they were copied												One of their top three hobbies						How many times they were copied									How many times they were copied																		How many times they were copied						How many times they were copied			How many times they were copied												How many times they were copied			How many times they were copied						How many times they were copied						How many times they were copied						How many times they were copied			How many times they were copied									How many times they were copied						How many times they were copied						How many times they were copied			How many times they were copied						How many times they were copied			How many times they were copied			30	1	i was not 100 sure myself	i had good idea myself	27	3	30	0
81	1477	54	16	12	10	16	0	A	54	0	0	0	0	32	Female	Degree BSc/BA/equivalent	Exeter																																																																																																																																																																																																																																																																																																													0	1	I didn't 	I guessed the answer	0	0	0	0
82	1119	69	15	23	12	19	2	A	71	2	1	3	0	29	Female	Degree BSc/BA/equivalent	London 																																											How many times they were copied																																				One of their top three hobbies																																																How many times they were copied																																																																																																																																																																														3	1	Interest	Topics are not informative	2	1	3	0
84	889	58	13	9	16	20	0	A	58	0	0	0	0	48	Female	No formal education completed	manchester																																																																																																																																																																																																																																																																																																													0	1	i wouldnt	it not right	0	0	0	0
91	957	46	16	10	10	10	2	A	48	1	1	2	0	39	Female	GCSE or equivalent	London 																																																																																																																																																													How many times they were copied																																																																																																																								One of their top three hobbies																								2	1	I struggled 	I wanted to used ny own knowledge 	1	1	2	0
92	1106	46	9	8	13	16	11	A	57	9	8	17	0	52	Female	A level/ equivalent	Bristol 				One of their top three hobbies			One of their top three hobbies												How many times they were copied			One of their top three hobbies																								How many times they were copied																																													One of their top three hobbies						One of their top three hobbies																											How many times they were copied																																																																																	How many times they were copied																					How many times they were copied			How many times they were copied												One of their top three hobbies																		One of their top three hobbies			How many times they were copied																								How many times they were copied			How many times they were copied						One of their top three hobbies						17	1	Time was running out 	Hoped I knew the answer 	9	8	17	0
93	1092	49	14	11	10	14	0	A	49	0	0	0	0	33	Female	Degree BSc/BA/equivalent	Durham 																																																																																																																																																																																																																																																																																																													0	1	If u do not know the answer 	Try to do it on your own 	0	0	0	0
95	958	75	18	19	19	19	1	A	76	1	1	2	0	43	Female	Degree BSc/BA/equivalent	Andover																																																																																																																																																																																																																																																							One of their top three hobbies																		How many times they were copied																																				2	1	I wanted to see how it worked	I prefer to trust my own intellect.	1	1	2	0
100	947	67	17	13	17	20	0	A	67	0	0	0	0	40	Female	Apprenticeship / trade / technical / vocational training																																																																																																																																																																																																																																																																																																														0	1	none	incase its wrong	0	0	0	0
101	647	67	17	15	17	18	0	A	67	0	0	0	0	30	Male	Degree BSc/BA/equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I didnt	No one to copy	0	0	0	0
104	999	61	10	19	13	19	8	A	69	3	8	11	0	25	Female	Degree BSc/BA/equivalent	Preston																How many times they were copied																					How many times they were copied												How many times they were copied									One of their top three hobbies																								One of their top three hobbies																																																												One of their top three hobbies																					One of their top three hobbies			One of their top three hobbies																														One of their top three hobbies																																																			One of their top three hobbies						One of their top three hobbies																																																11	1	Better than a guess	When I knew it myself	3	8	11	0
105	1528	69	15	19	14	21	0	A	69	0	1	1	0	57	Female	Apprenticeship / trade / technical / vocational training	Norwich																																																																																																																																														One of their top three hobbies																																																																																																																																																															1	1	I did it once and then decided I'd prefer to do it unaided	It felt like cheating and I wanted the score based on my own merits	0	1	1	0
107	1423	24	12	3	8	1	22	A	46	18	21	41	0	43	Male	Degree BSc/BA/equivalent	Borehamwood																									One of their top three hobbies																																	How many times they were copied															How many times they were copied			One of their top three hobbies			How many times they were copied									How many times they were copied						One of their top three hobbies			How many times they were copied									One of their top three hobbies									One of their top three hobbies			How many times they were copied			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies												One of their top three hobbies			One of their top three hobbies												How many times they were copied																					How many times they were copied															One of their top three hobbies			How many times they were copied			One of their top three hobbies									How many times they were copied			How many times they were copied			How many times they were copied						One of their top three hobbies			One of their top three hobbies																					How many times they were copied			How many times they were copied			One of their top three hobbies			One of their top three hobbies						How many times they were copied			One of their top three hobbies						One of their top three hobbies						One of their top three hobbies			One of their top three hobbies									How many times they were copied			One of their top three hobbies			How many times they were copied			How many times they were copied			How many times they were copied			One of their top three hobbies			41	1	I don‰Ûªt know	None	18	21	41	0
112	3118	73	17	18	17	21	0	A	73	0	0	0	0	38	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I didn't knowing that similar interests don't provide similarities in today's world.	"I'd rather take a guess from my stored memory. Also, as the instructions around this were confusing."	0	0	0	0
113	1254	65	15	11	20	19	0	A	65	0	0	0	0	56	Female	GCSE or equivalent	swansea																																																																																																																																																																																																																																																																																																													0	1	I didnt copy anyone elses	I preferred to choose the answers myself even if they were wrong I knew then that the score I achieved was on my own merit and no one elses	0	0	0	0
116	1594	69	17	16	16	20	0	A	69	0	1	2	0	36	Male	A level/ equivalent	london																																																																																																																																																																						One of their top three hobbies																																																															One of their top three hobbies																																																																								2	1	try to how it works	''option'' did not hel	0	1	2	0
118	1233	65	16	12	19	18	0	A	65	0	0	0	0	39	Female	Masters level MSc/MRes/MA/equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I didn't	I'm not opposed to learning from others. But surely it's a fool's errand to attempt to copy answers from generic people I know nothing about who may score much worse than my own efforts.	0	0	0	0
123	1355	70	16	18	18	18	2	A	72	2	0	2	0	62	Male	Apprenticeship / trade / technical / vocational training	london																																																																																																																																																																																																																																																										How many times they were copied															How many times they were copied																																				2	1	cluless on answer	thought i had correct answer	2	0	2	0
124	948	67	12	17	18	20	2	A	69	1	1	2	0	27	Female	Apprenticeship / trade / technical / vocational training	Nottingham 																																																																																																																																								One of their top three hobbies																					How many times they were copied																																																																																																																																																2	1	Neither answer seemed familiar	I had a 50% chance of getting the right answer if I guessed	1	1	2	0
126	890	60	14	15	14	17	0	A	60	0	0	0	0	30	Male	A level/ equivalent	London 																																																																																																																																																																																																																																																																																																													0	1	Yes	Not	0	0	0	0
131	1213	47	12	15	9	11	4	A	51	4	0	4	0	26	Male	GCSE or equivalent	Leicester																																																																																								How many times they were copied									How many times they were copied																																																																																													How many times they were copied									How many times they were copied																																																																																																						4	1	Didnt know myself	Might be wrong	4	0	4	0
134	1256	67	17	14	14	22	0	A	67	1	0	1	0	43	Male	Degree BSc/BA/equivalent	Reading																																																																																																																																																																																																																																		How many times they were copied																																																																											1	1	couldnt guess	Guessed	1	0	1	0
137	1022	54	12	14	10	18	1	A	55	2	1	3	0	40	Male	Prefer not to say	Worcester																																																																																														How many times they were copied																								One of their top three hobbies																																																																																																																																													How many times they were copied																																										3	1	Dont no the answer	They could be wrong	2	1	3	0
142	689	55	13	12	17	13	4	A	59	3	2	5	0	19	Male	GCSE or equivalent	Brighton																																																																																								How many times they were copied																																																																																																																																							How many times they were copied			One of their top three hobbies																		One of their top three hobbies																																				How many times they were copied																					5	1	Not sure on the correct answer	Never learn if you don‰Ûªt try	3	2	5	0
151	1248	51	11	10	13	17	1	A	52	0	1	1	0	25	Male	Masters level MSc/MRes/MA/equivalent	London																One of their top three hobbies																																																																																																																																																																																																																																																																																													1	1	Because I didn't know the answer.	Because I was confident to give the answer.	0	1	1	0
152	1247	54	15	13	15	11	0	A	54	0	0	0	0	42	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																																																																																																													0	1	I have not copied any replies	I want to test my knowledge	0	0	0	0
153	1338	58	14	14	16	14	0	A	58	0	0	0	0	42	Male	A level/ equivalent	london																																																																																																																																																																																																																																																																																																													0	1	I didn't	Don't trust anyone else	0	0	0	0
1	664	67	13	20	16	18	2	B	69	3	1	4	0	999	Other	No formal education completed	entebbe																													How many times they were copied																		One of their top three hobbies																																																																																																						How many times they were copied																																																																																																																								How many times they were copied																																4	1			3	1	4	0
5	807	57	15	10	14	18	1	B	58	1	0	1	0	45	Female	Masters level MSc/MRes/MA/equivalent	Edinburgh																																									How many times they were copied																																																																																																																																																																																																																																																																				1	1			1	0	1	0
6	809	50	13	11	12	14	0	B	50	1	0	1	0	18	Male	GCSE or equivalent	Wigan		How many times they were copied																																																																																																																																																																																																																																																																																																											1	1	Hard	I knew it	1	0	1	0
7	744	82	22	24	13	23	0	B	82	1	0	1	0	62	Male	A level/ equivalent	Newcastle																																																																																																																																																																																												How many times they were copied																																																																																																																	1	1	Require help	Confidence	1	0	1	0
10	949	82	23	20	20	19	0	B	82	0	0	0	0	38	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I didn't	I wanted to know how I could do on my own	0	0	0	0
11	873	64	11	14	18	21	1	B	65	1	0	1	0	43	Male	GCSE or equivalent	Leeds																																																																																																																																																																							How many times they were copied																																																																																																																																						1	1	Was a hard choice 	I thought I knew the answer 	1	0	1	0
15	944	76	18	23	16	19	1	B	77	1	1	2	0	25	Female	Degree BSc/BA/equivalent	London																																																								How many times they were copied																																																						One of their top three hobbies																																																																																																																																																																																															2	1	"I wanted to try it out, and I was certain I had no idea"	"For most I had an idea, also the 10 second rule made me go with my gut rather than deliberate and contemplate copying"	1	1	2	0
20	1232	68	13	14	19	22	1	B	69	2	0	2	0	28	Male	A level/ equivalent																								How many times they were copied																																																																																																																																																																								How many times they were copied																																																																																																														2	1	To see what other people thought it was	I wanted to save it for s harder question	2	0	2	0
24	1131	59	11	17	15	16	1	B	60	0	1	1	0	24	Female	A level/ equivalent	London																																																					One of their top three hobbies																																																																																																																																																																																																																																																								1	1			0	1	1	0
25	1651	55	15	12	14	14	1	B	56	1	0	1	0	42	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																				How many times they were copied																																																																																									1	1	help	examine my knowledge	1	0	1	0
26	1579	71	17	17	18	19	5	B	76	6	2	8	0	38	Female	Degree BSc/BA/equivalent	Swansea																																																																																																																																																														One of their top three hobbies																					How many times they were copied									One of their top three hobbies			How many times they were copied																																							How many times they were copied																																	How many times they were copied			How many times they were copied																											How many times they were copied								8	1	Because I wasn't sure or I had no idea what was the right answer	I wasn't sure but I wanted to try anyway	6	2	8	0
30	2249	57	16	15	13	13	8	B	65	7	6	13	0	49	Male	No formal education completed	Birmingham											How many times they were copied												One of their top three hobbies						One of their top three hobbies																																																One of their top three hobbies															How many times they were copied																																																															How many times they were copied																																																																														How many times they were copied			How many times they were copied			How many times they were copied									One of their top three hobbies												One of their top three hobbies															One of their top three hobbies																					How many times they were copied					13	1	To desieve others	Becuse it could be wrong	7	6	13	0
33	1680	68	21	15	15	17	0	B	68	0	0	0	0	41	Male	GCSE or equivalent	Harwich 																																																																																																																																																																																																																																																																																																													0	1		Clueless 	0	0	0	0
35	1297	63	12	10	19	22	0	B	63	0	0	0	0	23	Male	Degree BSc/BA/equivalent	Birmingham																																																																																																																																																																																																																																																																																																													0	1	N/A	I wasn‰Ûªt Comfortable	0	0	0	0
39	1105	64	16	12	18	18	0	B	64	0	0	0	0	34	Male	GCSE or equivalent	London																																																																																																																																																																																																																																																																																																													0	1	Correct answer	Don‰Ûªt like cheating	0	0	0	0
43	622	53	12	13	11	17	0	B	53	0	0	0	0	18	Male	A level/ equivalent	Derry																																																																																																																																																																																																																																																																																																													0	1	Ehy not	Could do well myself	0	0	0	0
45	571	47	12	11	13	11	0	B	47	0	0	0	0	18	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													0	1	For help	Wrong thing to do and to figure some things out yourself	0	0	0	0
48	1195	64	12	16	16	20	0	B	64	0	0	0	0	30	Female	Masters level MSc/MRes/MA/equivalent	Diss																																																																																																																																																																																																																																																																																																													0	1	i didn't choose this option	because they may be wrong. i want the mistake to be done by me	0	0	0	0
