Idnum	individScore	geogScore	artScore	langScore	weightScore	Copied_score	Condition	o_score	copCopied	copHobs	copyFreq	copScore	age	gender	edu	city	Q1A	Q1B	Q1C	Q2A	Q2B	Q2C	Q3A	Q3B	Q3C	Q4A	Q4B	Q4C	Q5A	Q5B	Q5C	Q6A	Q6B	Q6C	Q7A	Q7B	Q7C	Q8A	Q8B	Q8C	Q9A	Q9B	Q9C	Q10A	Q10B	Q10C	Q11A	Q11B	Q11C	Q12A	Q12B	Q12C	Q13A	Q13B	Q13C	Q14A	Q14B	Q14C	Q15A	Q15B	Q15C	Q16A	Q16B	Q16C	Q17A	Q17B	Q17C	Q18A	Q18B	Q18C	Q19A	Q19B	Q19C	Q20A	Q20B	Q20C	Q21A	Q21B	Q21C	Q22A	Q22B	Q22C	Q23A	Q23B	Q23C	Q24A	Q24B	Q24C	Q25A	Q25B	Q25C	Q26A	Q26B	Q26C	Q27A	Q27B	Q27C	Q28A	Q28B	Q28C	Q29A	Q29B	Q29C	Q30A	Q30B	Q30C	Q31A	Q31B	Q31C	Q32A	Q32B	Q32C	Q33A	Q33B	Q33C	Q34A	Q34B	Q34C	Q35A	Q35B	Q35C	Q36A	Q36B	Q36C	Q37A	Q37B	Q37C	Q38A	Q38B	Q38C	Q39A	Q39B	Q39C	Q40A	Q40B	Q40C	Q41A	Q41B	Q41C	Q42A	Q42B	Q42C	Q43A	Q43B	Q43C	Q43A	Q44B	Q44C	Q45A	Q45B	Q45C	Q46A	Q46B	Q46C	Q47A	Q47B	Q47C	Q48A	Q48B	Q48C	Q49A	Q49B	Q49C	Q50A	Q50B	Q50C	Q51A	Q51B	Q51C	Q52A	Q52B	Q52C	Q53A	Q53B	Q53C	Q54A	Q54B	Q54C	Q55A	Q55B	Q55C	Q56A	Q56B	Q56C	Q57A	Q57B	Q57C	Q58A	Q58B	Q58C	Q59A	Q59B	Q59C	Q60A	Q60B	Q60C	Q61A	Q61B	Q61C	Q62A	Q62B	Q62C	Q63A	Q63B	Q63C	Q64A	Q64B	Q64C	Q65A	Q65B	Q65C	Q66A	Q66B	Q66C	Q67A	Q67B	Q67C	Q68A	Q68B	Q68C	Q69A	Q69B	Q69C	Q70A	Q70B	Q70C	Q71A	Q71B	Q71C	Q72A	Q72B	Q72C	Q73A	Q73B	Q73C	Q74A	Q74B	Q74C	Q75A	Q75B	Q75C	Q76A	Q76B	Q76C	Q77A	Q77B	Q77C	Q78A	Q78B	Q78C	Q79A	Q79B	Q79C	Q80A	Q80B	Q80C	Q81A	Q81B	Q81C	Q82A	Q82B	Q82C	Q83A	Q83B	Q83C	Q84A	Q84B	Q84C	Q85A	Q85B	Q85C	Q86A	Q86B	Q86C	Q87A	Q87B	Q87C	Q88A	Q88B	Q88C	Q89A	Q89B	Q89C	Q90A	Q90B	Q90C	Q91A	Q91B	Q91C	Q92A	Q92B	Q92C	Q93A	Q93B	Q93C	Q94A	Q94B	Q94C	Q95A	Q95B	Q95C	Q96A	Q96B	Q96C	Q97A	Q97B	Q97C	Q98A	Q98B	Q98C	Q99A	Q99B	Q99C	Q100A	Q100B	Q100C	why1	why2
35	63	12	10	19	22	0	B	63	0	0	0	0	23	Male	Degree BSc/BA/equivalent	Birmingham																																																																																																																																																																																																																																																																																																													N/A	I wasn‰Ûªt Comfortable
36	61	17	13	15	16	0	C	61	0	0	0	0	30	Female	Masters level MSc/MRes/MA/equivalent	Newport																																																																																																																																																																																																																																																																																																													I didnt	Because it is always better to be honest whether you know the answer or not
37	55	11	17	15	12	0	A	55	0	1	1	0	30	Female	Masters level MSc/MRes/MA/equivalent	Oxford 																																																																																																																																																																																																																																																																																																													Bits was hard	Cause u might FAIL
38	64	12	12	17	23	1	A	65	0	2	2	0	22	Male	A level/ equivalent																																																																																																																																																																																																																																																																																																														because i didnt know the answer	i believed i knew the answer
39	64	16	12	18	18	0	B	64	0	0	0	0	34	Male	GCSE or equivalent	London																																																																																																																																																																																																																																																																																																													Correct answer	Don‰Ûªt like cheating
40	50	12	12	11	15	0	C	50	0	0	1	1	29	Female	GCSE or equivalent	st helens																																																																																																																																																																																																																																																																																																													i only copied one	it took to lobg to copy i would just ratger guess
41	53	9	14	14	16	0	A	53	0	0	0	0	47	Male	Masters level MSc/MRes/MA/equivalent																																																																																																																																																																																																																																																																																																														n/a	n/a
42	63	13	15	16	19	1	A	64	1	0	1	0	26	Female	A level/ equivalent	Milton Keynes																																																																																																																																																																																																																															I was copied once																																																																														I did not know the answer	I like to do my own work
43	53	12	13	11	17	0	B	53	0	0	0	0	18	Male	A level/ equivalent	Derry																																																																																																																																																																																																																																																																																																													Ehy not	Could do well myself
44	54	13	12	12	17	0	C	54	0	0	0	0	25	Male	Masters level MSc/MRes/MA/equivalent	Exeter																																																																																																																																																																																																																																																																																																													Dunno tbh m8 	Cuz dey got da ting wrong innit fam and den u look like a right chungting 
45	47	12	11	13	11	0	B	47	0	0	0	0	18	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													For help	Wrong thing to do and to figure some things out yourself
46	70	15	14	16	25	4	A	74	0	5	5	0	25	Female	A level/ equivalent	Glasgow																																																																																																																																																																																																																																																																																																													Because i did not know the answer	Because i thought i might know the answer
47	66	17	19	13	17	0	C	66	0	0	0	0	43	Female	Degree BSc/BA/equivalent	london																																																																																																																																																																																																																																																																																																													no idea	it is original
48	64	12	16	16	20	0	B	64	0	0	0	0	30	Female	Masters level MSc/MRes/MA/equivalent	Diss																																																																																																																																																																																																																																																																																																													i didn't choose this option	because they may be wrong. i want the mistake to be done by me
49	69	13	20	16	20	0	B	69	0	1	1	0	39	Male	A level/ equivalent	greater manchester																																																																																																																																																																																																																																																																																																													im not that good on geography	i thought i knew some of the answers so i didn't think i should copy
50	73	17	18	15	23	0	C	73	0	0	0	0	45	Female	Degree BSc/BA/equivalent	London																																																																																																																																																																																																																																																																																																													I don't like copying answers	I don't like wasting time so I make a decision on which answer I think is correct
51	47	11	9	11	16	2	B	49	1	1	2	0	18	Female	A level/ equivalent	Stoke on Trent 																																																																																																																																																																																																											I was copied once																																																																																																		It was hard for me to answer 	I thought I knew the answer 
