QUESTION	ID	COPIED_B	HOB	SCORE	CORRECT?			ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4	70	4	Reading	70	1			16	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0
4	83	2	Sailing	69	0			17	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0
4	86	1	Going to the Opera	80	1			18	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1
4	87	0	Football	61	1			19	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0		1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0
4	88	0	Running	57	1			20	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
5	68	6	Gym	53	0			21	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1		1	1
5	95	3	Gaming	59	1			22	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1		1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1		0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
5	94	1	Meditation	68	0			23	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1
5	92	1	Running	49	1			24	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1		0	1	0	0	0	1		1	0	1		1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1
5	93	0	Cycling	66	1			25	0	1	1	1		1	0	0	1	1	0	0	0	1		0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1		1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1
6	45	6	Painting	76	1			26	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0		1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1		0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0
6	72	2	Yoga	78	1			27	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1		0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1
6	3	2	Walking the dog	73	1			28	0	0		1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0
6	97	1	Hockey	76	1			29	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
6	30	0	Sewing	52	1			30	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
7	59	5	Drawing	54	1			31	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1
7	1	3	Horse Riding	68	1			32	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1
7	7	1	Writing	60	1			33	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	22	1	Cricket	48	0			34	0	0	1	0	1	1	0	0	1		1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1
7	23	0	Cooking	80	1			35	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0
8	70	4	Reading	70	1			36	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0
8	66	1	Skateboarding	64	1			37	1	0		1	1	1	1	1	1	1	0	0	1	1		1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0		1	0	0	0	1	0		1	0	0	0
8	82	1	Jigsaws	71	1			38	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0
8	11	0	Gym	47	0			39	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0
8	12	0	Singing	58	0			40	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1
9	59	5	Collecting Ornaments	54	1			41	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1
9	18	2	Swimming	63	1			42	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1
9	20	2	Cycling	82	1			43	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1
9	24	1	Netball	67	1			44	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0		1	0		1	1			0		0	0	1	0	0	0		0	0		0	0	1	0
9	6	0	Running	48	1			45	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1		1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	70	4	Cooking	70	1			46	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1
10	28	2	Art	66	1			47	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
10	40	1	Table Tennis	65	0			48	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1
10	41	1	Hiking	67	1			49	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0
10	8	0	Dancing	62	0			50	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1
11	68	6	Skating	53	0			51	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0
11	72	2	Yoga	78	0			52	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1
11	82	1	Jigsaws	71	1			53	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1
11	81	0	Cycling	70	1			54	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0		0	1	1	0	1	1		1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0		0	0	1
11	80	0	Gym	44	0			55	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0
12	59	5	Drawing	54	0			56	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	54	3	Cooking	60	0			57	0	1		1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1
12	63	1	Zumba	55	0			58	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0
12	60	0	Fishing	50	1			59	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1
12	61	0	Cycling	66	0			60	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
13	45	6	Painting	76	0			61	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0
13	29	3	Tennis	52	0			62	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1		0		1	1	0	1	1	0	0	1	1	0	1		1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1		1		1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1
