ID	FILM	F_OTHER	SPORT	S_OTHER	FOOD	FD_OTHER	MUSIC	M_OTHER	INSTRUMENTS	I_OTHER	HOBBY1	HOB_NUM1	HOBBY2	HOB_NUM2	HOBBY3	HOB_NUM3	AGE	GENDER	EDU	CITY	Overall Score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE
39	"1,4,7"		"2,4,7"		"3,4,6"		"2,8,9"		12		Crossword 	24	Sport 	0	Reading 	3	53	1	3	Chester 	50	16	11	8	15
42	5		11	Canoe polo	"2,6"		"5,8"		2		Swimming	11	Running	5	Reading novels	3	21	2	6	Glasgow	72	18	17	15	22
13	4		"1,6,7"		4		5		"2,3"		Cooking	4	Yoga	7	Rock climbing	0	31	2	7	Manchester	65	15	15	15	20
40	1		2		4		9		12		table tennis	25	football	0	running	5	32	1	7	Cardiff	65	11	14	19	21
6	5		3		6		7		12		Gaming	6	Training	3	Running	5	18	1	4	Wolverhampton	48	15	14	9	10
92	5		3		6		7		12		Gaming	6	Training	3	Running	5	18	1	4	Wolverhampton	49	16	10	12	11
80	4		2		3		9		"3,12"		Gym	14	Walking	6	Running	5	38	1	1	London	44	13	11	9	11
83	4		1		3		"2,8"		12		fishing	16	walking	6	sailing	0	53	1	1	London	69	13	19	14	23
30	2		1		4		8		12		cooking	4	reading 	4	sewing	6	70	2	3	bristol	52	18	14	11	9
26	"1,4,5"		6		11	Cheesey chips	"7,9,10"		1		Xbox	6	Game on phone	2	Sex	0	30	1	3	Exeter	55	16	11	12	16
19	4		2		6		9		1		Working out at the gym	14	Cooking	1	Shopping	0	24	2	6	London 	61	14	13	16	18
34	1		8		6		9		12		Running 	23	Sleeping 	0	Shopping 	0	26	2	6	Farnborough	59	15	17	11	16
27	3		2		6		9		12		Dancing 	8	Acting 	0	Singing	0	18	2	4	Birmingham 	59	14	15	12	18
81	4		4		3		8		"1,2"		Reading	13	Cycling	0	Skateboarding 	0	18	1	4	London	70	19	18	18	15
35	1		2		4		9		12		Cooking	4	Movies	0	Sport	5	26	2	3	Sheffield	62	14	18	13	17
89	"1,3"		4		3		8		12		Cooking	4	Reading	4	Sport	5	53	1	4	London	60	15	15	13	17
2	"1,3,5,8"		"2,5,9"		"1,2,4,5,6"		"1,3,5,8"		2		cricket	2	games	2	surfing	0	28	1	7	london	52	18	9	13	12
70	5		2		4		1		12		cooking	4	reading	4	surfing internet	0	56	1	3	colchester	70	18	14	17	21
15	4		4		"2,3"		9		"6,12"		Camping	12	Reading 	4	Swimi ng	2	49	2	7	Leeds	52	16	8	14	14
52	"2,4,11"	action	2		"1,3,4"		11	reggae	12		reading	13	cooking	1	swimming	2	35	2	3	Enfield	55	16	9	13	17
99	5		2		4		4		1		Cycling	15	Orientearing	0	Swimming	2	40	1	5	Glasgow	55	17	9	13	16
102	"1,2,4,8"		3		"1,4"		10		10		Moto cross	22	Rugby	0	Swimming	2	25	1	3	Milton keynes	55	14	10	15	16
38	4		2		11	malay	"1,9"		1		cooking	4	running	5	swimming	2	36	2	2	LIVERPOOL	61	15	10	16	20
18	2		6		4		11	Country	12		Reading	13	Walking	6	Swimming 	2	46	2	6	Glasgow 	63	16	17	12	18
37	"1,4,5,8,9"		"2,4"		6		"8,9"		12		cooking	4	reading	4	technology 	0	49	1	3	Guildford 	61	17	12	12	20
62	"1,2,4"		2		"3,4,5,6"		6		"1,2,6"		football	5	cooking	1	tennis	0	32	1	5	wigan	51	14	12	12	13
5	"1,2,3"		2		4		4		6		Soccer	5	Darts	0	Tennis	0	29	1	7	London	55	14	12	15	14
23	5		11	Swimming 	6		4		12		Cooking	4	Walking	6	Theme parks	0	37	2	6	Birmingham	80	18	19	20	23
53	9		6		4		8		12		reading 	13	cooking 	1	travelling	0	42	2	6	Manchester	69	14	20	15	20
49	"1,2,4,5,6,8"		"1,2,3,4,8,9"		"1,3,6,10"		"2,5,6,7"		"1,6"		Gaming	6	Pc Building	0	Travelling	0	32	1	6	Birmingham	66	15	16	15	20
76	2		1		4		6		1		Socialising	31	Reading	4	TV	4	20	2	4	Newcastle	67	14	19	15	19
44	1		9		3		9		12		Basketball	17	Painting	0	Volleyball	0	22	2	7	Bridgend	43	13	5	14	11
16	"1,2,3,4,5"		2		4		6		12		games	6	jogging	5	walking	0	44	2	3	leven	55	13	13	15	14
47	"3,10"		1		4		9		12		Cooking 	4	Craft 	0	Walking 	0	51	2	3	Bradford 	58	16	11	15	16
33	2		7		6		7		12		Gardening	20	Reading	4	Watching movies	4	31	2	7	Coventry	84	20	24	19	21
85	"1,2,5,6,8,9,10"		"1,7"		6		"4,9"		1		walking	21	watching films	0	watching tv	4	19	1	4	Solihull	67	15	15	16	21
43	3		9		4		9		12		Reading 	13	Cooking 	1	Working	0	19	2	3	Belfast	58	13	12	18	15
54	5		2		"6,7"		"3,4,9"		12		Cooking	4	Swiming	0	Writing	0	30	1	6	Liverpool	60	14	12	17	17
73	4		1		3		9		12		Swimming	11	Cooking	1	Yoga	0	23	2	5	Preston	53	12	12	12	17
32	1		4		3		9		12		Gaming	6	Cricket	0	Yoga	0	42	1	7	Leeds	49	11	11	11	16
46	"2,9"		8		3		9		12		Reading	13	Documentries	0	Yoga	0	32	2	5	Birmingham	54	11	11	12	20
94	1		8		5		10		"1,6"		Walking	21	Meditation	7	You tube	4	46	1	7	Brentford London	68	15	19	14	20
12	1		5		3		10		2		Singing	9	Dancing	0	Zooma	0	25	1	3	London	58	15	12	13	18
